"","TaxonName","CommonName","FleetGearName","bycatch","destruction","TaxonKey","FunctionalGroupDescription","fish_type"
"1720","Pagrus auriga","Redbanded seabream","Trawl","high","destructive",605066,"Medium benthopelagics (30 - 89 cm)","demersal"
"1721","Ophichthidae","Snake eels","Lines Non-tuna","low","non-destructive",400066,"Medium demersals (30 - 89 cm)","demersal"
"1722","Brevoortia pectinata","Argentine menhaden","Purse seine Non-tuna","low","non-destructive",601590,"Medium pelagics (30 - 89 cm)","pelagic"
"1723","Crassostrea iredalei","Slipper cupped oyster","Dredge","high","destructive",690364,"Other demersal invertebrates","demersal"
"1724","Rexea solandri","Silver gemfish","Trawl","high","destructive",608490,"Large benthopelagics (>=90 cm)","demersal"
"1725","Paralithodes camtschaticus","Red king crab","Gillnet","high","non-destructive",690621,"Lobsters, crabs","demersal"
"1726","Anarhichas minor","Spotted wolffish","Trawl","high","destructive",603811,"Large demersals (>=90 cm)","demersal"
"1727","Salvelinus","Char","Trawl","high","destructive",501410,"Large benthopelagics (>=90 cm)","demersal"
"1728","Cynoscion nebulosus","Spotted weakfish","Seine","high","non-destructive",600405,"Medium demersals (30 - 89 cm)","demersal"
"1729","Hypoptychus dybowskii","Korean sandeel","Trawl","high","destructive",600488,"Small benthopelagics (<30 cm)","demersal"
"1730","Lepidonotothen nudifrons","Gaudy notothen","Lines Non-tuna","low","non-destructive",607047,"Small demersals (<30 cm)","demersal"
"1731","Salmo","Salmon and trout","Trawl midwater","high","non-destructive",500136,"Large demersals (>=90 cm)","pelagic"
"1732","Stenotomus chrysops","Scup","Trawl midwater","high","non-destructive",600452,"Medium demersals (30 - 89 cm)","pelagic"
"1733","Buccinum undatum","Whelk","Trap","high","non-destructive",690434,"Other demersal invertebrates","demersal"
"1734","Sarda orientalis","Striped bonito","Purse seine Non-tuna","low","non-destructive",600114,"Large pelagics (>=90 cm)","pelagic"
"1735","Scyllarides latus","Mediterranean slipper lobster","Trap","high","non-destructive",690598,"Lobsters, crabs","demersal"
"1736","Conger orbignianus","Argentine conger","Lines Non-tuna","low","non-destructive",600299,"Large demersals (>=90 cm)","demersal"
"1737","Girella tricuspidata","Luderick","Trawl","high","destructive",608173,"Medium benthopelagics (30 - 89 cm)","demersal"
"1738","Trachinotus mookalee","Indian pompano","Seine","high","non-destructive",601964,"Medium demersals (30 - 89 cm)","demersal"
"1739","Sciaena umbra","Brown meagre","Trawl","high","destructive",601707,"Medium demersals (30 - 89 cm)","demersal"
"1740","Scatophagus","Scats","Purse seine Non-tuna","low","non-destructive",501242,"Medium demersals (30 - 89 cm)","pelagic"
"1741","Ablennes hians","Flat needlefish","Purse seine Non-tuna","low","non-destructive",600972,"Large pelagics (>=90 cm)","pelagic"
"1742","Peprilus paru","American harvestfish","Gillnet","high","non-destructive",628143,"Small benthopelagics (<30 cm)","pelagic"
"1743","Peprilus","Harvestfishes","Trawl midwater","high","non-destructive",501164,"Small benthopelagics (<30 cm)","pelagic"
"1744","Centroberyx affinis","Redfish","Trawl midwater","high","non-destructive",614129,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1745","Alepocephalus bairdii","Bairds smooth-head","Gillnet","high","non-destructive",600230,"Large bathydemersals (>=90 cm)","demersal"
"1746","Nematopalaemon schmitti","Whitebelly prawn","Dredge","high","destructive",690694,"Shrimps","demersal"
"1747","Trachurus symmetricus","Pacific jack mackerel","Seine","high","non-destructive",600368,"Medium pelagics (30 - 89 cm)","pelagic"
"1748","Anarhichas minor","Spotted wolffish","Seine","high","non-destructive",603811,"Large demersals (>=90 cm)","demersal"
"1749","Cancer productus","Pacific rock crab","Trap","high","non-destructive",690287,"Lobsters, crabs","demersal"
"1750","Decapterus maruadsi","Japanese scad","Trawl","high","destructive",601939,"Small pelagics (<30 cm)","demersal"
"1751","Nemadactylus bergi","White morwong","Trawl","high","destructive",600460,"Medium demersals (30 - 89 cm)","demersal"
"1752","Cheilopogon agoo","Japanese flyingfish","Purse seine Non-tuna","low","non-destructive",610307,"Medium pelagics (30 - 89 cm)","pelagic"
"1753","Jasus edwardsii","Red rock lobster","Trap","high","non-destructive",690321,"Lobsters, crabs","demersal"
"1754","Coregonus sardinella","Sardine cisco","Purse seine Non-tuna","low","non-destructive",602678,"Medium pelagics (30 - 89 cm)","pelagic"
"1755","Epinephelus tauvina","Greasy grouper","Lines Non-tuna","low","non-destructive",604461,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1756","Mustelus schmitti","Narrownose smooth-hound","Gillnet","high","non-destructive",605937,"Small to medium sharks (<90 cm)","pelagic"
"1757","Malacanthidae","Tilefishes","Gillnet","high","non-destructive",400308,"Medium demersals (30 - 89 cm)","demersal"
"1758","Pterogymnus laniarius","Panga seabream","Lines Non-tuna","low","non-destructive",600448,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1759","Tetrapturus albidus","Atlantic white marlin","Pole and Line Tuna","low","non-destructive",NA,NA,"pelagic"
"1760","Oncorhynchus masou masou","Cherry salmon","Lines Non-tuna","low","non-destructive",600242,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1761","Sphyrna lewini","Scalloped hammerhead","Gillnet","high","non-destructive",600912,"Large sharks (>=90 cm)","pelagic"
"1762","Mustelus lenticulatus","Spotted estuary smooth-hound","Lines Non-tuna","low","non-destructive",605933,"Large sharks (>=90 cm)","pelagic"
"1763","Dasyatis","Stingrays","Trawl","high","destructive",500646,"Large rays (>=90 cm)","demersal"
"1764","Pagrus auratus","Squirefish","Trawl midwater","high","non-destructive",606426,"Large demersals (>=90 cm)","pelagic"
"1765","Portunidae","Swimming crabs","Trawl","high","destructive",490031,"Lobsters, crabs","demersal"
"1766","Squatina argentina","Argentine angelshark","Gillnet","high","non-destructive",600727,"Large sharks (>=90 cm)","pelagic"
"1767","Mustelus henlei","Brown smooth-hound","Trawl midwater","high","non-destructive",602540,"Small to medium sharks (<90 cm)","pelagic"
"1768","Selene dorsalis","African moonfish","Lines Non-tuna","low","non-destructive",600379,"Small demersals (<30 cm)","demersal"
"1769","Salvelinus malma malma","Dolly varden","Lines Non-tuna","low","non-destructive",602691,"Large benthopelagics (>=90 cm)","pelagic"
"1770","Metanephrops mozambicus","Mozambique lobster","Trawl","high","destructive",690249,"Lobsters, crabs","demersal"
"1771","Lethrinus lentjan","Pink ear emperor","Lines Non-tuna","low","non-destructive",601863,"Medium demersals (30 - 89 cm)","demersal"
"1772","Seriolella","Barrelfishes","LonglineTuna","high","non-destructive",502004,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1773","Acanthuridae","Surgeonfishes tangs unicornfishes","Trap","high","non-destructive",400412,"Small reef assoc. fish (<30 cm)","demersal"
"1774","Myctophidae","Lanternfishes","Trawl","high","destructive",400167,"Small pelagics (<30 cm)","demersal"
"1775","Echeneidae","Remoras","Lines Non-tuna","low","non-destructive",400313,"Large pelagics (>=90 cm)","pelagic"
"1776","Coregonus nasus","Broad whitefish","Gillnet","high","non-destructive",602674,"Medium demersals (30 - 89 cm)","demersal"
"1777","Dussumieria acuta","Rainbow sardine","Purse seine Non-tuna","low","non-destructive",601453,"Small pelagics (<30 cm)","pelagic"
"1778","Phycis","Gunnels forkbeards","Seine","high","non-destructive",509303,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1779","Spicara maena","Blotched picarel","Gillnet","high","non-destructive",604887,"Small demersals (<30 cm)","demersal"
"1780","Haliotis tuberculata","Tuberculate abalone","Other","low","non-destructive",690420,"Other demersal invertebrates","demersal"
"1781","Leucoraja naevus","Cuckoo ray","Trawl","high","destructive",604326,"Small to medium rays (<90 cm)","demersal"
"1782","Plectorhinchus pictus","Trout sweetlips","Other","low","non-destructive",608315,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1783","Dipturus oxyrinchus","Longnosed skate","Trawl","high","destructive",607616,"Large rays (>=90 cm)","demersal"
"1784","Spicara maena","Blotched picarel","Trawl","high","destructive",604887,"Small demersals (<30 cm)","demersal"
"1785","Placopecten magellanicus","American sea scallop","Dredge","high","destructive",690011,"Other demersal invertebrates","demersal"
"1786","Farfantepenaeus aztecus","Northern brown shrimp","Trawl","high","destructive",690265,"Shrimps","demersal"
"1787","King crabs squat-lobsters","Craylets squat lobsters","Dredge","high","destructive",NA,NA,"demersal"
"1788","Apostichopus japonicus","Japanese sea cucumber","Other","low","non-destructive",690201,"Other demersal invertebrates","demersal"
"1789","Myoxocephalus","Sculpins","Trawl","high","destructive",500717,"Large reef assoc. fish (>=90 cm)","demersal"
"1790","Chione stutchburyi","Stutchbury's venus","Dredge","high","destructive",690692,"Other demersal invertebrates","demersal"
"1791","Calamus","Porgies","Lines Non-tuna","low","non-destructive",501551,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1792","Triglidae","Searobins","Gillnet","high","non-destructive",400266,"Medium demersals (30 - 89 cm)","demersal"
"1793","Geryon","Deepsea crabs","Dredge","high","destructive",590067,"Lobsters, crabs","demersal"
"1794","Bivalvia","Clams","Dredge","high","destructive",290004,"Other demersal invertebrates","demersal"
"1795","Diplodus cervinus cervinus","Zebra seabream","Trawl","high","destructive",602497,"Medium benthopelagics (30 - 89 cm)","demersal"
"1796","Scomberomorus lineolatus","Streaked seerfish","Purse seine Non-tuna","low","non-destructive",600125,"Large pelagics (>=90 cm)","pelagic"
"1797","Alosa fallax","Twaite shad","Trap","high","non-destructive",605355,"Medium pelagics (30 - 89 cm)","demersal"
"1798","Arripis trutta","Eastern Australian salmon","Purse seine Non-tuna","low","non-destructive",605048,"Medium pelagics (30 - 89 cm)","pelagic"
"1799","Clupeoids","Herrings sardines anchovies","Trawl midwater","high","non-destructive",NA,NA,"pelagic"
"1800","Pagellus bellottii","Red pandora","Lines Non-tuna","low","non-destructive",600436,"Medium demersals (30 - 89 cm)","demersal"
"1801","Phycis phycis","Forkbeard","Lines Non-tuna","low","non-destructive",601747,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1802","Epinephelus goreensis","Dungat grouper","Lines Non-tuna","low","non-destructive",604961,"Large demersals (>=90 cm)","demersal"
"1803","Sarda orientalis","Striped bonito","Pole and Line Tuna","low","non-destructive",600114,"Large pelagics (>=90 cm)","pelagic"
"1804","Decapterus russelli","Indian scad","Trawl midwater","high","non-destructive",600374,"Medium pelagics (30 - 89 cm)","pelagic"
"1805","Sardinella zunasi","Japanese sardinella","Seine","high","non-destructive",601519,"Small pelagics (<30 cm)","pelagic"
"1806","Menidia menidia","Atlantic silverside","Trawl midwater","high","non-destructive",600339,"Small pelagics (<30 cm)","pelagic"
"1807","Myoxocephalus","Sculpins","Gillnet","high","non-destructive",500717,"Large reef assoc. fish (>=90 cm)","pelagic"
"1808","Hemiramphus","Halfbeaks","Trawl","high","destructive",509289,"Medium pelagics (30 - 89 cm)","demersal"
"1809","Atractoscion aequidens","Geelbeck croaker","Lines Non-tuna","low","non-destructive",600420,"Large benthopelagics (>=90 cm)","pelagic"
"1810","Dorosoma cepedianum","American gizzard shad","Gillnet","high","non-destructive",601604,"Medium pelagics (30 - 89 cm)","pelagic"
"1811","Polyprion americanus","Wreckfish","Trawl","high","destructive",600349,"Large bathydemersals (>=90 cm)","demersal"
"1812","Mullus surmuletus","Striped red mullet","Gillnet","high","non-destructive",601327,"Medium demersals (30 - 89 cm)","demersal"
"1813","Mugil","Grey mullets","Gillnet","high","non-destructive",500152,"Medium demersals (30 - 89 cm)","demersal"
"1814","Ommastrephidae","Arrow squids","Trawl midwater","high","non-destructive",490004,"Cephalopods","pelagic"
"1815","Arius thalassinus","Giant seacatfish","Longline Non-tuna","high","non-destructive",NA,NA,"demersal"
"1816","Loligo forbesii","Veined Squid","Trawl","high","destructive",690595,"Cephalopods","demersal"
"1817","Lethrinus xanthochilus","Yellowlip emperor","Other","low","non-destructive",601852,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1818","Aristeus varidens","Striped red shrimp","Trawl","high","destructive",690403,"Shrimps","demersal"
"1819","Mola mola","Ocean sunfish","Trap","high","non-destructive",601732,"Large pelagics (>=90 cm)","demersal"
"1820","Lithognathus lithognathus","White steenbras","Trawl","high","destructive",600450,"Large benthopelagics (>=90 cm)","demersal"
"1821","Scomberomorus sierra","Pacific sierra","Pole and Line Tuna","low","non-destructive",600136,"Large pelagics (>=90 cm)","pelagic"
"1822","Gadus ogac","Greenland cod","Trap","high","non-destructive",600309,"Medium demersals (30 - 89 cm)","demersal"
"1823","Totoaba macdonaldi","Totoaba","Trawl","high","destructive",606317,"Large benthopelagics (>=90 cm)","demersal"
"1824","Centrolophidae","Medusafishes","Trawl midwater","high","non-destructive",400421,"Medium pelagics (30 - 89 cm)","pelagic"
"1825","Venus verrucosa","Warty venus","Other","low","non-destructive",690693,"Other demersal invertebrates","demersal"
"1826","Tawera gayi","Gay's little venus","Other","low","non-destructive",690682,"Other demersal invertebrates","demersal"
"1827","Diplodus cervinus cervinus","Zebra seabream","Lines Non-tuna","low","non-destructive",602497,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1828","Brevoortia tyrannus","Atlantic menhaden","Purse seine Non-tuna","low","non-destructive",601592,"Medium pelagics (30 - 89 cm)","pelagic"
"1829","Zidona dufresnei","Angulate volute","Other","low","non-destructive",690674,"Other demersal invertebrates","demersal"
"1830","Clupeoids","Herrings sardines anchovies","Trawl","high","destructive",NA,NA,"demersal"
"1831","Centrophorus lusitanicus","Lowfin gulper shark","Trawl","high","destructive",600650,"Large sharks (>=90 cm)","demersal"
"1832","Lamniformes","Mackerel sharks","Gillnet","high","non-destructive",300007,"Large sharks (>=90 cm)","pelagic"
"1833","Oncorhynchus masou masou","Cherry salmon","Trawl midwater","high","non-destructive",600242,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1834","Clupeiformes","Herrings","Other","low","non-destructive",300028,"Small pelagics (<30 cm)","pelagic"
"1835","Thalassoma pavo","Ornate wrasse","Trawl","high","destructive",602500,"Small reef assoc. fish (<30 cm)","demersal"
"1836","Arctica islandica","Ocean quahog","Other","low","non-destructive",690275,"Other demersal invertebrates","demersal"
"1837","Spisula ovalis","Venus clam","Other","low","non-destructive",690631,"Other demersal invertebrates","demersal"
"1838","Psettodes belcheri","Spottail spiny turbot","Gillnet","high","non-destructive",604504,"Small to medium flatfishes (<90 cm)","demersal"
"1839","Alosa fallax","Twaite shad","Purse seine Non-tuna","low","non-destructive",605355,"Medium pelagics (30 - 89 cm)","pelagic"
"1840","Mercenaria mercenaria","Northern quahog","Dredge","high","destructive",690270,"Other demersal invertebrates","demersal"
"1841","Scombroids","Tunas bonitos billfishes","Trawl","high","destructive",NA,NA,"demersal"
"1842","Taractichthys steindachneri","Sickle pomfret","Trawl","high","destructive",603561,"Medium benthopelagics (30 - 89 cm)","demersal"
"1843","Lepidonotothen larseni","Lepidonotothen larseni","Trawl","high","destructive",NA,NA,"demersal"
"1844","Zoarces americanus","Ocean pout","Other","low","non-destructive",600480,"Large demersals (>=90 cm)","demersal"
"1845","Nibea mitsukurii","Nibe croaker","Gillnet","high","non-destructive",600427,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1846","Coregonus muksun","Muksun","Lines Non-tuna","low","non-destructive",612547,"Large benthopelagics (>=90 cm)","pelagic"
"1847","Valamugil seheli","Bluespot mullet","Trap","high","non-destructive",NA,NA,"demersal"
"1848","Cheilinus undulatus","Humphead wrasse","Lines Non-tuna","low","non-destructive",605604,"Large reef assoc. fish (>=90 cm)","pelagic"
"1849","Rhabdosargus haffara","Haffara seabream","Other","low","non-destructive",608166,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1850","Mulloidichthys flavolineatus","Yellowstripe goatfish","Gillnet","high","non-destructive",605983,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1851","Paralabrax humeralis","Peruvian rock seabass","Gillnet","high","non-destructive",600352,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1852","Scomberomorus maculatus","Spanish mackerel","Gillnet","high","non-destructive",600126,"Medium pelagics (30 - 89 cm)","pelagic"
"1853","Sprattus fuegensis","Falkland sprat","Purse seine Non-tuna","low","non-destructive",601466,"Small pelagics (<30 cm)","pelagic"
"1854","Molva molva","Ling","Trawl midwater","high","non-destructive",600033,"Large demersals (>=90 cm)","pelagic"
"1855","Salmonidae","Salmonids","Purse seine Non-tuna","low","non-destructive",400076,"Large benthopelagics (>=90 cm)","pelagic"
"1856","Lutjanus quinquelineatus","Five-lined snapper","Other","low","non-destructive",600172,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1857","Megalops cyprinoides","Indo-Pacific tarpon","Lines Non-tuna","low","non-destructive",600227,"Large pelagics (>=90 cm)","pelagic"
"1858","Scophthalmus aquosus","Windowpane","Gillnet","high","non-destructive",600530,"Small to medium flatfishes (<90 cm)","demersal"
"1859","Lepidopsetta bilineata","Rock sole","Longline Non-tuna","high","non-destructive",624237,"Small to medium flatfishes (<90 cm)","demersal"
"1860","Mustelus schmitti","Narrownose smooth-hound","Trawl","high","destructive",605937,"Small to medium sharks (<90 cm)","demersal"
"1861","Limanda aspera","Yellowfin sole","Trawl","high","destructive",600520,"Small to medium flatfishes (<90 cm)","demersal"
"1862","Sphyrna zygaena","Smooth hammerhead","Lines Non-tuna","low","non-destructive",600917,"Large sharks (>=90 cm)","pelagic"
"1863","Miscellaneous marine crustaceans","Marine crustaceans","Seine","high","non-destructive",100047,"Shrimps","demersal"
"1864","Decapterus russelli","Indian scad","Trawl","high","destructive",600374,"Medium pelagics (30 - 89 cm)","demersal"
"1865","Scorpaena porcus","Black scorpionfish","Gillnet","high","non-destructive",601758,"Small demersals (<30 cm)","demersal"
"1866","Littorina littorea","Common periwinkle","Dredge","high","destructive",690089,"Other demersal invertebrates","demersal"
"1867","Epinephelus summana","Summan grouper","Trap","high","non-destructive",607366,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"1868","Malacanthidae","Tilefishes","Trap","high","non-destructive",400308,"Medium demersals (30 - 89 cm)","demersal"
"1869","Lethrinus harak","Thumbprint emperor","Trap","high","non-destructive",601851,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"1870","Cancer magister","Dungeness crab","Trap","high","non-destructive",690115,"Lobsters, crabs","demersal"
"1871","Loligo vulgaris","Cape Hope squid","Trawl","high","destructive",690067,"Cephalopods","demersal"
"1872","Rhabdosargus globiceps","White stumpnose","Lines Non-tuna","low","non-destructive",600449,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1873","Microchirus","Iberian soles","Trawl","high","destructive",501418,"Large reef assoc. fish (>=90 cm)","demersal"
"1874","Balistes capriscus","Grey triggerfish","Longline Non-tuna","high","non-destructive",607327,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1875","Cantherhines","Filefishes","Lines Non-tuna","low","non-destructive",501677,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1876","Hemiramphidae","Halfbeaks","Purse seine Non-tuna","low","non-destructive",400475,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1877","Engraulis mordax","Californian anchovy","Trawl midwater","high","non-destructive",601664,"Small pelagics (<30 cm)","pelagic"
"1878","Micromesistius poutassou","Blue whiting","Trawl","high","destructive",600031,"Medium benthopelagics (30 - 89 cm)","demersal"
"1879","Lethrinus microdon","Smalltooth emperor","Other","low","non-destructive",601845,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1880","Hyporhamphus sajori","Japanese halfbeak","Trap","high","non-destructive",600305,"Medium pelagics (30 - 89 cm)","demersal"
"1881","Balistes capriscus","Grey triggerfish","Lines Non-tuna","low","non-destructive",607327,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1882","Aethaloperca rogaa","Redmouth grouper","Other","low","non-destructive",606441,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1883","Thenus orientalis","Flathead lobster","Gillnet","high","non-destructive",690681,"Lobsters, crabs","demersal"
"1884","Seriolella","Barrelfishes","Purse seine Tuna","low","non-destructive",502004,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1885","Lithodes","Lithodes","Gillnet","high","non-destructive",590070,"Lobsters, crabs","demersal"
"1886","Paralomis","Paralomis","Trawl","high","destructive",590074,"Lobsters, crabs","demersal"
"1887","Merluccius polli","Benguela hake","Trawl","high","destructive",600327,"Medium bathydemersals (30 - 89 cm)","demersal"
"1888","Rapana","Sea snails","Other","low","non-destructive",590111,"Other demersal invertebrates","demersal"
"1889","Tellina","Tellins","Other","low","non-destructive",590262,"Other demersal invertebrates","demersal"
"1890","Lithodes maia","Stone king crab","Trawl","high","destructive",690399,"Lobsters, crabs","demersal"
"1891","Caranx sexfasciatus","Bigeye trevally","Lines Non-tuna","low","non-destructive",601917,"Large reef assoc. fish (>=90 cm)","pelagic"
"1892","Stenodus leucichthys","Inconnu","Trawl","high","destructive",602692,"Large demersals (>=90 cm)","demersal"
"1893","Hyperoglyphe antarctica","Antarctic butterfish","Lines Non-tuna","low","non-destructive",600496,"Large benthopelagics (>=90 cm)","pelagic"
"1894","Epinephelus summana","Summan grouper","Gillnet","high","non-destructive",607366,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1895","Clupeoids","Herrings sardines anchovies","Gillnet","high","non-destructive",NA,NA,"pelagic"
"1896","Rhinobatos planiceps","Pacific guitarfish","Trawl","high","destructive",600149,"Small to medium rays (<90 cm)","demersal"
"1897","Etrumeus whiteheadi","Whiteheads round herring","Trawl midwater","high","non-destructive",601456,"Small pelagics (<30 cm)","pelagic"
"1898","Mytilus","Mussels","Dredge","high","destructive",590117,"Other demersal invertebrates","demersal"
"1899","Chromis chromis","Damselfish","Lines Non-tuna","low","non-destructive",601706,"Small reef assoc. fish (<30 cm)","pelagic"
"1900","Merluccius capensis","Shallow-water Cape hake","Trawl","high","destructive",601828,"Large bathydemersals (>=90 cm)","demersal"
"1901","Menticirrhus","Kingcroakers","Trawl","high","destructive",502790,"Medium demersals (30 - 89 cm)","demersal"
"1902","Hyporhamphus sajori","Japanese halfbeak","Purse seine Non-tuna","low","non-destructive",600305,"Medium pelagics (30 - 89 cm)","pelagic"
"1903","Cromileptes altivelis","Humpback grouper","Lines Non-tuna","low","non-destructive",606457,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1904","Argentina sphyraena","Argentine","Trawl","high","destructive",600020,"Medium pelagics (30 - 89 cm)","demersal"
"1905","Lethrinus xanthochilus","Yellowlip emperor","Gillnet","high","non-destructive",601852,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1906","Emmelichthys nitidus nitidus","Redbait","Trawl","high","destructive",600395,"Medium bathydemersals (30 - 89 cm)","demersal"
"1907","Megalaspis cordyla","Torpedo scad","Purse seine Non-tuna","low","non-destructive",600384,"Medium pelagics (30 - 89 cm)","pelagic"
"1908","Muraenolepis","Moray cods","Trawl","high","destructive",504054,"Medium benthopelagics (30 - 89 cm)","demersal"
"1909","Plectropomus pessuliferus","Roving coralgrouper","Lines Non-tuna","low","non-destructive",607430,"Large reef assoc. fish (>=90 cm)","pelagic"
"1910","Microgadus tomcod","Atlantic tomcod","Trawl","high","destructive",600316,"Medium demersals (30 - 89 cm)","demersal"
"1911","Coryphaena","Coryphaena","Purse seine Non-tuna","low","non-destructive",500116,"Large pelagics (>=90 cm)","pelagic"
"1912","Etrumeus whiteheadi","Whiteheads round herring","Trawl","high","destructive",601456,"Small pelagics (<30 cm)","demersal"
"1913","Scomberomorus lineolatus","Streaked seerfish","Seine","high","non-destructive",600125,"Large pelagics (>=90 cm)","pelagic"
"1914","Makaira nigricans","Atlantic blue marlin","Pole and Line Tuna","low","non-destructive",600216,"Large pelagics (>=90 cm)","pelagic"
"1915","Chelon haematocheilus","So-iny (redlip) mullet","Lines Non-tuna","low","non-destructive",NA,NA,"pelagic"
"1916","Umbrina canosai","Argentine croaker","Trawl","high","destructive",600413,"Medium demersals (30 - 89 cm)","demersal"
"1917","Trachurus picturatus","Blue jack mackerel","Trawl","high","destructive",601279,"Medium benthopelagics (30 - 89 cm)","demersal"
"1918","Coregonus autumnalis","Arctic cisco","Trap","high","non-destructive",602669,"Medium pelagics (30 - 89 cm)","demersal"
"1919","Micropogonias undulatus","Atlantic croaker","Gillnet","high","non-destructive",600408,"Medium demersals (30 - 89 cm)","demersal"
"1920","Alosa alosa","Allis shad","Gillnet","high","non-destructive",600101,"Medium pelagics (30 - 89 cm)","pelagic"
"1921","Spicara smaris","Picarel","Gillnet","high","non-destructive",601766,"Small demersals (<30 cm)","demersal"
"1922","Alosa fallax","Twaite shad","Trawl midwater","high","non-destructive",605355,"Medium pelagics (30 - 89 cm)","pelagic"
"1923","Pandalus jordani","Ocean shrimp","Trawl","high","destructive",690660,"Shrimps","demersal"
"1924","Morone americana","White perch","Gillnet","high","non-destructive",600355,"Medium demersals (30 - 89 cm)","demersal"
"1925","Cancer productus","Pacific rock crab","Seine","high","non-destructive",690287,"Lobsters, crabs","demersal"
"1926","Patella","Limpets","Dredge","high","destructive",590242,"Other demersal invertebrates","demersal"
"1927","Chaceon affinis","Deep-sea red crab","Trap","high","non-destructive",690753,"Lobsters, crabs","demersal"
"1928","Zygochlamys patagonica","Patagonean scallop","Dredge","high","destructive",690686,"Other demersal invertebrates","demersal"
"1929","Aprion virescens","Green jobfish","Gillnet","high","non-destructive",600084,"Large reef assoc. fish (>=90 cm)","pelagic"
"1930","Argyrops spinifer","King soldierbream","Trawl","high","destructive",600442,"Medium demersals (30 - 89 cm)","demersal"
"1931","Bothidae","Lefteye flounders","Longline Non-tuna","high","non-destructive",400439,"Small to medium flatfishes (<90 cm)","demersal"
"1932","Caulolatilus chrysops","Atlantic goldeye tilefish","Trawl midwater","high","non-destructive",600983,"Medium demersals (30 - 89 cm)","pelagic"
"1933","Chelidonichthys lucerna","Tub gurnard","Lines Non-tuna","low","non-destructive",601366,"Medium demersals (30 - 89 cm)","demersal"
"1934","Caranx sexfasciatus","Bigeye trevally","Trawl","high","destructive",601917,"Large reef assoc. fish (>=90 cm)","demersal"
"1935","Spicara maena","Blotched picarel","Seine","high","non-destructive",604887,"Small demersals (<30 cm)","demersal"
"1936","Carcharhinus limbatus","Blacktip shark","Longline Non-tuna","high","non-destructive",600874,"Large sharks (>=90 cm)","pelagic"
"1937","Jasus lalandii","Cape rock lobster","Trap","high","non-destructive",690069,"Lobsters, crabs","demersal"
"1938","Melicertus latisulcatus","Western king prawn","Trawl","high","destructive",690432,"Shrimps","demersal"
"1939","Urophycis tenuis","White hake","Trawl","high","destructive",600313,"Large demersals (>=90 cm)","demersal"
"1940","Lepidorhynchus denticulatus","Thorntooth grenadier","Trawl","high","destructive",608483,"Medium bathypelagics (30 - 89 cm)","demersal"
"1941","Rhabdosargus globiceps","White stumpnose","Trawl midwater","high","non-destructive",600449,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1942","Pyura stolonifera","Red bait","Other","low","non-destructive",690318,"Other demersal invertebrates","demersal"
"1943","Balistes capriscus","Grey triggerfish","Seine","high","non-destructive",607327,"Medium benthopelagics (30 - 89 cm)","pelagic"
"1944","Micropogonias","Western croakers","Trawl midwater","high","non-destructive",501327,"Medium demersals (30 - 89 cm)","pelagic"
"1945","Ephippidae","Spadefishes batfishes and scats","Lines Non-tuna","low","non-destructive",400340,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"1946","Archosargus probatocephalus","Sheepshead seabream","Trawl","high","destructive",600441,"Medium demersals (30 - 89 cm)","demersal"
"1947","Engraulis capensis","Cape anchovy","Trawl midwater","high","non-destructive",601661,"Small pelagics (<30 cm)","pelagic"
"1948","Epigonus","Cardinalfishes","Lines Non-tuna","low","non-destructive",500716,"Large reef assoc. fish (>=90 cm)","pelagic"
"1949","Scorpaena scrofa","Largescaled scorpionfish","Lines Non-tuna","low","non-destructive",601759,"Medium demersals (30 - 89 cm)","demersal"
